"","Depth_m","Prof1_Temp_degC","Prof1_Sal_psu","Prof2_Temp_degC","Prof2_Sal_psu"
"560",559,9.1744,35.049,7.9738,34.97
"561",560,9.1645,35.048,7.9649,34.97
"562",561,9.1547,35.046,7.9555,34.969
"563",562,9.1447,35.044,7.9458,34.968
"564",563,9.1348,35.042,7.9346,34.967
"565",564,9.1248,35.041,7.9253,34.966
"566",565,9.1148,35.039,7.9208,34.966
"567",566,9.1048,35.037,7.9171,34.966
"568",567,9.0947,35.035,7.9092,34.965
"569",568,9.0846,35.034,7.8968,34.964
"570",569,9.0745,35.032,7.8858,34.963
"571",570,9.0644,35.03,7.8785,34.962
"572",571,9.0542,35.028,7.8705,34.961
"573",572,9.044,35.026,7.8618,34.961
"574",573,9.0337,35.025,7.8564,34.96
"575",574,9.0235,35.023,7.85,34.96
"576",575,9.0132,35.021,7.8388,34.959
"577",576,9.0028,35.019,7.8226,34.958
"578",577,8.9925,35.018,7.8136,34.958
"579",578,8.9821,35.016,7.8061,34.957
"580",579,8.9716,35.014,7.7958,34.956
"581",580,8.9612,35.012,7.7803,34.955
"582",581,8.9507,35.01,7.7709,34.955
"583",582,8.9401,35.008,7.7545,34.953
"584",583,8.9296,35.007,7.7457,34.953
"585",584,8.919,35.005,7.7406,34.952
"586",585,8.9083,35.003,7.731,34.951
"587",586,8.8977,35.001,7.7135,34.95
"588",587,8.887,34.999,7.6877,34.949
"589",588,8.8763,34.998,7.6708,34.948
"590",589,8.8655,34.996,7.6549,34.947
"591",590,8.8547,34.994,7.6331,34.946
"592",591,8.8439,34.992,7.6243,34.945
"593",592,8.833,34.99,7.6213,34.944
"594",593,8.8221,34.988,7.6154,34.944
"595",594,8.8112,34.986,7.6044,34.943
"596",595,8.8002,34.985,7.595,34.943
"597",596,8.7892,34.983,7.5849,34.942
"598",597,8.7781,34.981,7.5734,34.942
"599",598,8.7671,34.979,7.5654,34.941
"600",599,8.756,34.977,7.5531,34.94
"601",600,8.7448,34.975,7.5395,34.94
"602",601,8.7337,34.973,7.5317,34.939
"603",602,8.7225,34.971,7.5254,34.938
"604",603,8.7112,34.97,7.5224,34.938
"605",604,8.7,34.968,7.5202,34.938
"606",605,8.6887,34.966,7.5162,34.938
"607",606,8.6774,34.964,7.5093,34.937
"608",607,8.666,34.962,7.5029,34.937
"609",608,8.6546,34.96,7.498,34.936
"610",609,8.6432,34.958,7.493,34.936
"611",610,8.6318,34.956,7.4867,34.936
"612",611,8.6203,34.954,7.4791,34.935
"613",612,8.6088,34.952,7.4733,34.935
"614",613,8.5973,34.95,7.4696,34.934
"615",614,8.5857,34.948,7.4669,34.934
"616",615,8.5741,34.947,7.4645,34.934
"617",616,8.5625,34.945,7.4602,34.934
"618",617,8.5509,34.943,7.4539,34.934
"619",618,8.5392,34.941,7.4458,34.934
"620",619,8.5276,34.939,7.4412,34.933
"621",620,8.5159,34.937,7.44,34.933
"622",621,8.5041,34.935,7.4397,34.933
"623",622,8.4924,34.933,7.438,34.932
"624",623,8.4806,34.931,7.4338,34.932
"625",624,8.4688,34.929,7.4281,34.932
"626",625,8.457,34.927,7.4214,34.932
"627",626,8.4452,34.925,7.4156,34.931
"628",627,8.4333,34.923,7.4132,34.931
"629",628,8.4215,34.921,7.4121,34.931
"630",629,8.4096,34.919,7.4113,34.931
"631",630,8.3977,34.917,7.4097,34.931
"632",631,8.3858,34.915,7.4077,34.93
"633",632,8.3738,34.913,7.4053,34.93
"634",633,8.3619,34.911,7.4021,34.93
"635",634,8.3499,34.909,7.396,34.93
"636",635,8.3379,34.907,7.3895,34.93
"637",636,8.326,34.905,7.3846,34.929
"638",637,8.314,34.903,7.3824,34.929
